Product name,Price (€),Product category
100 needles without tube -0.30 x 13 mm,2.9,acupuncture
100 needles without tube -0.18 x 40 mm,2.9,acupuncture
Ear Paster - Er Xue Tie,3.1,acupuncture
100 needles without tube -0.35 x 40 mm,2.9,acupuncture
Knife needles -0.35 x 50 mm,18.8,acupuncture
Needles (with tube) -0.20 x 40 mm,13.9,acupuncture
100 needles without tube -0.30 x 25 mm,2.9,acupuncture
Needles without tube -0.30 x 40 mm,2.9,acupuncture
100 needles without tube -0.25 x 50 mm,2.9,acupuncture
100 needles without tube -0.35 x 75 mm,2.9,acupuncture
500 needles (with tube) -0.30 x 25 mm,13.9,acupuncture
500 needles (with tube) -0.18 x 10 mm,13.9,acupuncture
Needles (with tube) -0.20 x 25 mm,13.9,acupuncture
100 needles without tube -0.30 x 75 mm,2.9,acupuncture
500 needles (with tube) -0.22 x 50 mm,13.9,acupuncture
100 needles without tube -0.30 x 60 mm,2.9,acupuncture
100 needles without tube -0.35 x 50 mm,2.9,acupuncture
100 needles without tube -0.22 x 25 mm,2.9,acupuncture
Knife needles -0.60 x 40 mm,18.8,acupuncture
500 needles (with tube) -0.16 x 25 mm,13.9,acupuncture
100 needles without tube -0.30 x 30 mm,2.9,acupuncture
Needles (with tube) -0.25 x 60 mm,13.9,acupuncture
Massage hammer made of fabric and aromatic powders,14.9,new products
Massage hammer made of fabric and plant seeds,14.9,new products
"Summer Scented Sachet – Freshness, Balance & Chinese Tradition",15.9,new products
Gua sha in bian stone,18.9,"new products, skin"
Brass Gua Sha Plate - S Shape,39.9,"new products, skin"
Embroidered Round Fan – Asian Summer Breeze,18.9,new products
Green Sandalwood Brush,29.9,new products
Sandalwood Rabbit Massager,6.9,"new products, skin"
Carbonizing Cupping Set - Tan Hua Zhu Xi Tong ( 3 ),8.9,cupping
Bamboo Cupping Exlarge - Zhu Xi Tong Te Da Hao,3.0,cupping
Ceramic Cupping Set - Tao Ci Cai Guan,23.9,cupping
Plastic face cupping set for anti-wrinkle facial massage – Set of 4,17.8,cupping
Glass cupping - Bo Li Ba Huo guan,2.5,cupping
Glass face cupping set for anti-wrinkle facial massage – Set of 4,17.8,cupping
Intelligent breathing cupping massage instrument - Dian dong ba guan qi,20.0,cupping
Cupping Set - Zhen Kong Ba Guan Qi,27.9,cupping
Traditional Chinese balance - Chen Bai jian,12.9,decorative
"Painting ""shen"" - Jing Qi Shen - Shen",60.0,decorative
Scroll Painting-Kid Meridians (14) - Xiao Er Shi Si Jing Luo Tu Juan Zhou Ban,60.0,decorative
Scroll Painting-Metal - Wu Xing Tu - Jin,60.0,decorative
Scroll Painting-Wen - zhong yi si zhen tu - wen,60.0,decorative
Scroll Painting-Water - wu xing tu - shui,60.0,decorative
Scroll Painting-Fire - wu xing tu - huo,60.0,decorative
"Painting ""Zhang Zhongjing"" - Gua hua ""Zhang Zhongjing""",60.0,decorative
"Painting ""Li Shizhen"" - Gua hua ""Li Shizhen""",60.0,decorative
Scroll Painting-Earth - wu xing tu - tu,60.0,decorative
Scroll Painting-Qi - jing qi shen - qi,60.0,decorative
"Painting ""Sun Simao"" - Gua hua ""Sun Simiao""",60.0,decorative
Scroll Painting-TCM Diagnosis - zhong yi zhen duan quan tu,60.0,decorative
Scroll Painting-Wood - Wu Xing Tu - Mu,60.0,decorative
Scroll Painting-Baduan Jin - ba duan jin juan zhou ban,60.0,decorative
Magnetic Poster Holder Walnut,13.9,decorative
"Painting ""Yang"" and ""Yin""",60.0,decorative
Spiritual cultivation illustration,60.0,decorative
Scroll Painting-TCM Photo - que bing yan nian dao yin tu,60.0,decorative
Magnetic Poster Holder Rustic,15.9,decorative
"Painting ""Hua tuo"" - Gua hua ""Hua tuo""",60.0,decorative
Illustration from Inner structure - Neijing,60.0,decorative
"Painting ""Jing""",60.0,decorative
Scroll Painting-Wang - zhong yi si zhen tu - wang,60.0,decorative
Scroll Painting-Qie - zhong yi si zhen tu - qie,60.0,decorative
Book - Pharmacopée Chinoise : le livre de référence pour se soigner au naturel,23.0,books
Book - A la découverte de l'acupuncture des cinq éléments,14.9,books
Book - Comprendre l'énergie en médecine chinoise: Les bases pour les débutants,11.0,books
Book - À la Découverte de la Diététique Chinoise,24.9,books
Book - Cahiers cliniques d’Acupuncture n°14,33.0,books
Book - Initiation au massage chinois traditionnel,25.0,books
Book - À la découverte de l’Aromathérapie énergétique chinoise,32.0,books
Book - Traité des blessures dues au Froid,125.0,books
Book - La Pratique de la médecine chinoise,159.0,books
Book - L'acupuncture sans aiguille,18.0,books
Book - L'Art de soigner,26.0,books
Book - Les 101 notions-clés de la médecine chinoise,24.34,books
Book - Petit guide de médecine chinoise,20.0,books
Book - Bilans énergétique,25.0,books
Book - Répertoire des indications des points d’acupuncture,65.0,books
Book - Le second printemps,20.29,books
Book - Manuel pratique de moxibustion,18.0,books
Book - Soigner la fatigue par la médecine chinoise,16.23,books
Book - Vade-Mecum d'Acupuncture Traditionnelle,32.0,books
Book - La santé par la médecine traditionnelle chinoise,20.0,books
Book : Naissance et acupuncture (3e édition),19.0,books
Book : Acupuncture en salle d'accouchement,22.0,books
Book - La Médecine des ventouses dans les pathologies respiratoires,24.92,books
Book : Manuel d'acupuncture des cinq éléments,21.0,books
Book : Association de points : la clé du succès en acupuncture,79.5,books
Book - Zhenjiu jiayi jing - Volume 1 et 2,116.63,books
Book : Comprendre la médecine chinoise. La toile sans tisserand,36.0,books
Book - Traitements anti-rides,28.0,books
"Book - Je m'initie aux points qui guérissent, guide visuel",20.0,books
Book - Lexique des termes utiles en MTC,18.0,books
Book - Cahiers cliniques d’Acupuncture n°1,35.0,books
Book - Acupuncture : Les points essentiels,45.0,books
Book - Aux sources de la médecine chinoise,23.33,books
Book - Les Trois piliers de la santé,38.0,books
Book - La Diététique chinoise,18.0,books
"Book - La médecine taoïste, spécial immunité",19.0,books
Book - À la découverte de l’Acupuncture spatio-temporelle,16.9,books
Book - Cahiers cliniques d’Acupuncture n°2,35.0,books
Book - Véritable transmission des principes médicaux,85.0,books
Book - Tui Na - Apprendre et comprendre,40.0,books
Book - La Symphonie des Méridiens du corps,26.0,books
"Book - Les Automassages chinois, Les Basiques santé",14.9,books
Book - Guide thérapeutique acupuncture,88.0,books
Book - Accompagnement psycho-émotionnel selon la tradition chinoise,28.0,books
Book - Guide pratique des moxas chinois,24.9,books
Book - Ma bible de la diététique chinoise,23.0,books
Book - Vaincre la douleur par l'acupuncture selon les anciens,52.0,books
Book - Cahiers cliniques d’Acupuncture n°4,37.0,books
Book - Le Livre du Do-In,22.3,books
Book - Médecine Traditionnelle chinoise,34.9,books
Book - Cahiers cliniques d’Acupuncture n°3,32.0,books
Book - Acuponcture Pratique - Le Yi Jing et ses applications,24.5,books
Book - Cahiers cliniques d’Acupuncture n°8,29.0,books
Book : Les gardiens de l'âme : les cinq éléments protecteurs de l'acupuncture,22.0,books
Book : Gynécologie et obstétrique en médecine chinoise 2éd.,99.0,books
Book : Examen de la langue en Médecine Chinoise - 3e édition revue et augmentée,35.0,books
Book : Guide pratique d'acupuncture pour la grossesse et l'accouchement,36.9,books
Book : Le Massage énergétique chinois,29.95,books
Book : HYPNOSE ET ACUPUNCTURE EN ANESTHESIE,10.0,books
